Year,Artists Name,English Name,Category,Artist ID
,,,,
,,,,
2007,소녀시대,Girls' Generation,Idol,80026432
2007,원더걸스,Wonder Girls,Idol,80022182
2007,카라,KARA,Idol,80023353
,,,,
2009,투에니원,2NE1,Idol,80054982
,,,,
,,,,
2009,에프엑스,f(x),Idol,80059218
,,,,
,,,,
,,,,
,,,,
2010,걸스데이,Girl's Day,Idol,80073726
2010,미쓰에이,miss A,Idol,80073013
,,,,
,,,,
2011,에이핑크,Apink,Idol,80097978
,,,,
,,,,
,,,,
2012,EXID,EXID,Idol,80120879
,,,,
2012,AOA,AOA,Idol,80132659
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2014,마마무,MAMAMOO,Idol,80177857
,,,,
2014,레드벨벳,Red Velvet,Idol,80199440
,,,,
2015,여자친구,GFRIEND,Idol,80216536
2015,오마이걸,OH MY GIRL,Idol,80226913
2015,트와이스,TWICE,Idol,80249916
,,,,
,,,,
,,,,
2016,BLACKPINK,BLACKPINK,Idol,20022492
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2018,(여자)아이들,(G)I-DLE,Idol,20056456
,,,,
2018,IZ*ONE,IZ*ONE,Idol,20067467
,,,,
2020,ITZY,ITZY,Idol,80327433
2020,STAYC,STAYC,Idol,80347276
,,,,
,,,,
2021,aespa,aespa,Idol,80347326
2021,IVE,IVE,Idol,20148657
,,,,
,,,,
2022,LE SSERAFIM,LE SSERAFIM,Idol,20158908
2022,NMIXX,NMIXX,Idol,80365655
,,,,
2022,NewJeans,NewJeans,Idol,20164333
2008,아이유,IU,Solo,80049126
2007,선미,SUNMI,Solo,80022186
2009,현아,HYUNA,Solo,80057265
2014,화사,HWASA,Solo,80177861
2000,보아,BOA,Solo,1168
2016,청하,CHUNGHA,Solo,80259080
2007,태연,TAEYEON,Solo,80026437
2016,전소미,Jeon Somi,Solo,80259077
2009,CL,CL,Solo,80046074
